individus,vin,biere,alcool,esperance,cardio
France,6.3500000e+01,4.0100000e+01,2.5000000e+00,7.8000000e+01,6.1100000e+01
Italy,5.8000000e+01,2.5100000e+01,9.0000000e-01,7.8000000e+01,9.4100000e+01
Suisse,4.6000000e+01,6.5000000e+01,1.7000000e+00,7.8000000e+01,1.0640000e+02
Austra,1.5700000e+01,1.0210000e+02,1.2000000e+00,7.8000000e+01,1.7300000e+02
Brit,1.2200000e+01,1.0000000e+02,1.5000000e+00,7.7000000e+01,1.9970000e+02
U.S.A.,8.9000000e+00,8.7800000e+01,2.0000000e+00,7.6000000e+01,1.7600000e+02
Russie,2.7000000e+00,1.7100000e+01,3.8000000e+00,6.9000000e+01,3.7360000e+02
Czech,1.7000000e+00,1.4000000e+02,1.0000000e+00,7.3000000e+01,2.8370000e+02
Japan,1.0000000e+00,5.5000000e+01,2.1000000e+00,7.9000000e+01,3.4700000e+01
Mexico,2.0000000e-01,5.0400000e+01,8.0000000e-01,7.3000000e+01,3.6400000e+01
