"","Pays_perdus","OCDE"
"1","Bolivia",0
"2","Comoros",0
"3","Congo",0
"4","Costa Rica",1
"5","Côte d’Ivoire",0
"6","DR Congo",0
"7","Egypt",0
"8","Gambia",0
"9","Hong Kong SAR of China",0
"10","Iceland",1
"11","Iran",0
"12","Iraq",0
"13","Kosovo",0
"14","Kyrgyzstan",0
"15","Lebanon",0
"16","Libya",0
"17","Panama",0
"18","Republic of Korea",0
"19","Republic of Moldova",0
"20","Saudi Arabia",0
"21","Slovakia",0
"22","State of Palestine",0
"23","Taiwan Province of China",0
"24","Türkiye",1
"25","Venezuela",0
"26","Yemen",0
